,BroadStreet,,,,,,JHU,,,NYT,,,USAF,,,Discrepancy?,,FILTER HERE,,,Case Comments,Death Comments,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
