,BroadStreet,,,,,,JHU,,,NYT,,,USAF,,,Discrepancy?,,FILTER HERE,,,Case Comments,Death Comments,,,
,6/17/20,Cass County,Texas,655,31,,655,32,,655,32,,655,32,,No,Yes,Yes,,,,JHU=32; NYT=32; USAF=32 in Cass County,,,
,6/17/20,Castro County,Texas,378,7,,378,7,,378,7,,378,7,,No,No,None,,,,,,,
,6/17/20,Chambers County,Texas,1670,10,,1670,10,,1670,20,,1670,10,,No,Yes,Yes,,,,JHU=10; NYT=20; USAF=10 in Chambers County,,,
,6/17/20,Cherokee County,Texas,1689,45,,1689,45,,1689,45,,1689,45,,No,No,None,,,,,,,
,6/17/20,Childress County,Texas,770,0,,770,0,,770,0,,770,0,,No,No,None,,,,,,,
,6/17/20,Clay County,Texas,159,3,,159,3,,159,3,,159,3,,No,No,None,,,,,,,
,6/17/20,Cochran County,Texas,133,3,,133,4,,133,4,,133,4,,No,Yes,Yes,,,,JHU=4; NYT=4; USAF=4 in Cochran County,,,
,6/17/20,Coke County,Texas,137,8,,137,8,,137,8,,137,8,,No,No,None,,,,,,,
,6/17/20,Coleman County,Texas,141,5,,141,5,,141,5,,141,5,,No,No,None,,,,,,,
,6/17/20,Collin County,Texas,20888,201,,20888,205,,20888,205,,20888,205,,No,Yes,Yes,,,,JHU=205; NYT=205; USAF=205 in Collin County,,,
,6/17/20,Collingsworth County,Texas,22,0,,22,0,,22,0,,22,0,,No,No,None,,,,,,,
,6/17/20,Colorado County,Texas,523,4,,523,4,,523,4,,523,4,,No,No,None,,,,,,,
,6/17/20,Comal County,Texas,2960,107,,2960,108,,4005,124,,2960,108,,Yes,Yes,Yes,,,JHU=2960; NYT=4005; USAF=2960 in Comal County,JHU=108; NYT=124; USAF=108 in Comal County,,,
,6/17/20,Comanche County,Texas,403,5,,403,5,,403,5,,403,5,,No,No,None,,,,,,,
,6/17/20,Concho County,Texas,147,2,,147,2,,147,2,,147,2,,No,No,None,,,,,,,
,6/17/20,Cooke County,Texas,617,9,,617,9,,617,9,,617,9,,No,No,None,,,,,,,
,6/17/20,Coryell County,Texas,2111,14,,2111,14,,2111,14,,2111,14,,No,No,None,,,,,,,
,6/17/20,Cottle County,Texas,45,3,,45,4,,45,4,,45,4,,No,Yes,Yes,,,,JHU=4; NYT=4; USAF=4 in Cottle County,,,
,6/17/20,Crane County,Texas,90,6,,90,6,,90,6,,90,6,,No,No,None,,,,,,,
,6/17/20,Crockett County,Texas,169,7,,169,7,,169,7,,169,7,,No,No,None,,,,,,,
,6/17/20,Crosby County,Texas,150,13,,150,13,,150,13,,150,13,,No,No,None,,,,,,,
,6/17/20,Culberson County,Texas,134,3,,134,3,,134,3,,134,3,,No,No,None,,,,,,,
,6/17/20,Dallam County,Texas,414,10,,414,10,,414,10,,414,10,,No,No,None,,,,,,,
,6/17/20,Dallas County,Texas,104451,1331,,105377,1341,,114308,1341,,104451,1341,,Yes,Yes,Yes,,,JHU=105377; NYT=114308; USAF=104451 in Dallas County,JHU=1341; NYT=1341; USAF=1341 in Dallas County,,,
,6/17/20,Dawson County,Texas,1014,23,,1014,24,,1014,24,,1014,24,,No,Yes,Yes,,,,JHU=24; NYT=24; USAF=24 in Dawson County,,,
,6/17/20,De Witt County,Texas,1128,44,,0,0,,1128,44,,1128,44,,Yes,Yes,Yes,,,JHU=0; NYT=1128; USAF=1128 in De Witt County,JHU=0; NYT=44; USAF=44 in De Witt County,,,
,6/17/20,Deaf Smith County,Texas,1187,31,,1187,32,,1533,32,,1187,32,,Yes,Yes,Yes,,,JHU=1187; NYT=1533; USAF=1187 in Deaf Smith County,JHU=32; NYT=32; USAF=32 in Deaf Smith County,,,
,6/17/20,Delta County,Texas,43,0,,43,0,,43,0,,43,0,,No,No,None,,,,,,,
,6/17/20,Denton County,Texas,16146,187,,16350,190,,18892,190,,16146,190,,Yes,Yes,Yes,,,JHU=16350; NYT=18892; USAF=16146 in Denton County,JHU=190; NYT=190; USAF=190 in Denton County,,,
,6/17/20,Dickens County,Texas,60,2,,60,2,,60,2,,60,2,,No,No,None,,,,,,,
,6/17/20,Dimmit County,Texas,313,8,,313,8,,313,8,,313,8,,No,No,None,,,,,,,
,6/17/20,Donley County,Texas,93,1,,93,1,,93,1,,93,1,,No,No,None,,,,,,,
,6/17/20,Duval County,Texas,536,22,,536,22,,536,22,,536,22,,No,No,None,,,,,,,
,6/17/20,Eastland County,Texas,303,9,,303,9,,303,9,,303,9,,No,No,None,,,,,,,
,6/17/20,Ector County,Texas,4625,103,,7804,125,,7804,125,,4625,104,,Yes,Yes,Yes,,,JHU=7804; NYT=7804; USAF=4625 in Ector County,JHU=125; NYT=125; USAF=104 in Ector County,,,
,6/17/20,Edwards County,Texas,78,2,,78,2,,78,2,,78,2,,No,No,None,,,,,,,
,6/17/20,El Paso County,Texas,67484,717,,67484,729,,67484,729,,67484,729,,No,Yes,Yes,,,,JHU=729; NYT=729; USAF=729 in El Paso County,,,
,6/17/20,Ellis County,Texas,5530,92,,5530,95,,5530,95,,5530,95,,No,Yes,Yes,,,,JHU=95; NYT=95; USAF=95 in Ellis County,,,
,6/17/20,Erath County,Texas,1177,18,,1177,18,,1177,18,,1177,18,,No,No,None,,,,,,,
,6/17/20,Falls County,Texas,709,9,,709,10,,709,10,,709,10,,No,Yes,Yes,,,,JHU=10; NYT=10; USAF=10 in Falls County,,,
,6/17/20,Fannin County,Texas,877,22,,877,23,,877,23,,877,23,,No,Yes,Yes,,,,JHU=23; NYT=23; USAF=23 in Fannin County,,,
,6/17/20,Fayette County,Texas,556,23,,746,23,,556,23,,556,23,,Yes,No,Yes,,,JHU=746; NYT=556; USAF=556 in Fayette County,,,,
,6/17/20,Fisher County,Texas,138,4,,138,4,,138,4,,138,4,,No,No,None,,,,,,,
,6/17/20,Floyd County,Texas,160,10,,160,10,,160,10,,160,10,,No,No,None,,,,,,,
,6/17/20,Foard County,Texas,24,1,,24,1,,24,1,,24,1,,No,No,None,,,,,,,
,6/17/20,Fort Bend County,Texas,18249,318,,18249,318,,19149,318,,18249,318,,Yes,No,Yes,,,JHU=18249; NYT=19149; USAF=18249 in Fort Bend County,,,,
,6/17/20,Franklin County,Texas,236,10,,236,10,,236,10,,236,10,,No,No,None,,,,,,,
,6/17/20,Freestone County,Texas,478,5,,478,5,,478,5,,478,5,,No,No,None,,,,,,,
,6/17/20,Frio County,Texas,1032,9,,1032,9,,1032,9,,1032,9,,No,No,None,,,,,,,
,6/17/20,Gaines County,Texas,668,12,,668,13,,668,13,,668,13,,No,Yes,Yes,,,,JHU=13; NYT=13; USAF=13 in Gaines County,,,
,6/17/20,Galveston County,Texas,13260,171,,13260,171,,13260,171,,13260,171,,No,No,None,,,,,,,
,6/17/20,Garza County,Texas,149,10,,149,10,,149,10,,149,10,,No,No,None,,,,,,,
,6/17/20,Gillespie County,Texas,401,10,,401,10,,401,10,,401,10,,No,No,None,,,,,,,
,6/17/20,Glasscock County,Texas,16,0,,16,0,,16,0,,16,0,,No,No,None,,,,,,,
,6/17/20,Goliad County,Texas,166,6,,166,6,,166,6,,166,6,,No,No,None,,,,,,,
,6/17/20,Gonzales County,Texas,1152,20,,1152,20,,1152,20,,1152,20,,No,No,None,,,,,,,
,6/17/20,Gray County,Texas,1054,11,,1054,12,,1054,12,,1054,12,,No,Yes,Yes,,,,JHU=12; NYT=12; USAF=12 in Gray County,,,
,6/17/20,Grayson County,Texas,3206,85,,3206,87,,3206,87,,3206,87,,No,Yes,Yes,,,,JHU=87; NYT=87; USAF=87 in Grayson County,,,
,6/17/20,Gregg County,Texas,2754,92,,2754,96,,4026,96,,2754,96,,Yes,Yes,Yes,,,JHU=2754; NYT=4026; USAF=2754 in Gregg County,JHU=96; NYT=96; USAF=96 in Gregg County,,,
,6/17/20,Grimes County,Texas,1248,37,,1248,37,,1248,37,,1248,37,,No,No,None,,,,,,,
,6/17/20,Guadalupe County,Texas,3996,83,,3996,83,,3996,83,,3996,83,,No,No,None,,,,,,,
,6/17/20,Hale County,Texas,3050,68,,3050,68,,3190,71,,3050,68,,Yes,Yes,Yes,,,JHU=3050; NYT=3190; USAF=3050 in Hale County,JHU=68; NYT=71; USAF=68 in Hale County,,,
,6/17/20,Hall County,Texas,52,1,,52,2,,52,2,,52,2,,No,Yes,Yes,,,,JHU=2; NYT=2; USAF=2 in Hall County,,,
,6/17/20,Hamilton County,Texas,240,7,,240,7,,240,7,,240,7,,No,No,None,,,,,,,
,6/17/20,Hansford County,Texas,216,8,,216,8,,216,8,,216,8,,No,No,None,,,,,,,
,1/0/00,Hardeman County,Texas,72,3,,72,3,,72,3,,72,3,,No,No,None,,,,,,,
,1/0/00,Hardin County,Texas,1494,36,,1494,36,,1494,36,,1494,36,,No,No,None,,,,,,,
,1/0/00,Harris County,Texas,168746,2871,,170835,2877,,170835,2877,,168746,2877,,Yes,Yes,Yes,,,JHU=170835; NYT=170835; USAF=168746 in Harris County,JHU=2877; NYT=2877; USAF=2877 in Harris County,,,
,1/0/00,Harrison County,Texas,1181,40,,1181,40,,1181,40,,1181,40,,No,No,None,,,,,,,
,1/0/00,Hartley County,Texas,195,0,,195,0,,195,2,,195,0,,No,Yes,Yes,,,,JHU=0; NYT=2; USAF=0 in Hartley County,,,
,1/0/00,Haskell County,Texas,90,3,,90,3,,90,3,,90,3,,No,No,None,,,,,,,
,1/0/00,Hays County,Texas,6486,76,,6486,91,,7281,91,,6486,76,,Yes,Yes,Yes,,,JHU=6486; NYT=7281; USAF=6486 in Hays County,JHU=91; NYT=91; USAF=76 in Hays County,,,
,1/0/00,Hemphill County,Texas,206,1,,206,1,,206,1,,206,1,,No,No,None,,,,,,,
,1/0/00,Henderson County,Texas,1472,43,,1472,43,,2021,43,,1472,43,,Yes,No,Yes,,,JHU=1472; NYT=2021; USAF=1472 in Henderson County,,,,
,1/0/00,Hidalgo County,Texas,37031,1742,,37214,1994,,37155,1994,,37031,1750,,Yes,Yes,Yes,,,JHU=37214; NYT=37155; USAF=37031 in Hidalgo County,JHU=1994; NYT=1994; USAF=1750 in Hidalgo County,,,
,1/0/00,Hill County,Texas,972,16,,972,16,,972,16,,972,16,,No,No,None,,,,,,,
,1/0/00,Hockley County,Texas,984,29,,984,30,,984,30,,984,30,,No,Yes,Yes,,,,JHU=30; NYT=30; USAF=30 in Hockley County,,,
,1/0/00,Hood County,Texas,1300,42,,1300,42,,1300,42,,1300,42,,No,No,None,,,,,,,
,1/0/00,Hopkins County,Texas,752,45,,752,46,,752,46,,752,46,,No,Yes,Yes,,,,JHU=46; NYT=46; USAF=46 in Hopkins County,,,
,1/0/00,Houston County,Texas,436,14,,436,14,,436,14,,436,14,,No,No,None,,,,,,,
,1/0/00,Howard County,Texas,1298,23,,1298,24,,1298,24,,1298,24,,No,Yes,Yes,,,,JHU=24; NYT=24; USAF=24 in Howard County,,,
,1/0/00,Hudspeth County,Texas,125,3,,125,3,,125,3,,125,3,,No,No,None,,,,,,,
,1/0/00,Hunt County,Texas,2289,48,,2289,49,,2289,49,,2289,49,,No,Yes,Yes,,,,JHU=49; NYT=49; USAF=49 in Hunt County,,,
,1/0/00,Hutchinson County,Texas,500,11,,500,12,,500,12,,500,12,,No,Yes,Yes,,,,JHU=12; NYT=12; USAF=12 in Hutchinson County,,,
,1/0/00,Irion County,Texas,14,0,,14,0,,14,0,,14,0,,No,No,None,,,,,,,
,1/0/00,Jack County,Texas,186,3,,186,3,,186,3,,186,3,,No,No,None,,,,,,,
,1/0/00,Jackson County,Texas,693,16,,693,16,,693,16,,693,16,,No,No,None,,,,,,,
,1/0/00,Jasper County,Texas,525,34,,525,34,,525,34,,525,34,,No,No,None,,,,,,,
,1/0/00,Jeff Davis County,Texas,25,0,,25,0,,25,0,,25,0,,No,No,None,,,,,,,
,1/0/00,Jefferson County,Texas,8927,160,,8927,163,,8927,163,,8927,163,,No,Yes,Yes,,,,JHU=163; NYT=163; USAF=163 in Jefferson County,,,
,1/0/00,Jim Hogg County,Texas,194,7,,194,7,,194,7,,194,7,,No,No,None,,,,,,,
,1/0/00,Jim Wells County,Texas,1820,53,,1820,53,,1820,53,,1820,53,,No,No,None,,,,,,,
,1/0/00,Johnson County,Texas,4185,72,,4185,72,,4185,72,,4185,72,,No,No,None,,,,,,,
,1/0/00,Jones County,Texas,1499,4,,1499,4,,1499,4,,1499,4,,No,No,None,,,,,,,
,1/0/00,Karnes County,Texas,972,18,,972,18,,972,18,,972,18,,No,No,None,,,,,,,
,1/0/00,Kaufman County,Texas,3904,69,,3904,69,,3904,69,,3904,69,,No,No,None,,,,,,,
,1/0/00,Kendall County,Texas,439,11,,439,11,,439,11,,439,11,,No,No,None,,,,,,,
,1/0/00,Kenedy County,Texas,11,2,,11,2,,11,2,,11,2,,No,No,None,,,,,,,
,1/0/00,Kent County,Texas,16,0,,16,0,,16,0,,16,0,,No,No,None,,,,,,,
,1/0/00,Kerr County,Texas,751,15,,751,15,,751,15,,751,15,,No,No,None,,,,,,,
,1/0/00,Kimble County,Texas,34,2,,34,2,,34,2,,34,2,,No,No,None,,,,,,,
,1/0/00,King County,Texas,1,0,,1,0,,1,0,,1,0,,No,No,None,,,,,,,
,1/0/00,Kinney County,Texas,81,1,,81,2,,81,2,,81,2,,No,Yes,Yes,,,,JHU=2; NYT=2; USAF=2 in Kinney County,,,
,1/0/00,Kleberg County,Texas,1079,54,,1079,54,,1079,54,,1079,54,,No,No,None,,,,,,,
,1/0/00,Knox County,Texas,114,9,,114,9,,114,9,,114,9,,No,No,None,,,,,,,
,1/0/00,La Salle County,Texas,382,14,,382,14,,382,14,,382,14,,No,No,None,,,,,,,
,1/0/00,Lamar County,Texas,2197,53,,2197,53,,2197,53,,2197,53,,No,No,None,,,,,,,
,1/0/00,Lamb County,Texas,721,28,,721,29,,721,29,,721,29,,No,Yes,Yes,,,,JHU=29; NYT=29; USAF=29 in Lamb County,,,
,1/0/00,Lampasas County,Texas,334,9,,334,9,,334,9,,334,9,,No,No,None,,,,,,,
,1/0/00,Lavaca County,Texas,1237,39,,1237,39,,1237,39,,1237,39,,No,No,None,,,,,,,
,1/0/00,Lee County,Texas,262,15,,262,15,,262,15,,262,15,,No,No,None,,,,,,,
,1/0/00,Leon County,Texas,406,13,,406,13,,406,13,,406,13,,No,No,None,,,,,,,
,1/0/00,Liberty County,Texas,2341,59,,2341,59,,2341,59,,2341,59,,No,No,None,,,,,,,
,1/0/00,Limestone County,Texas,701,16,,701,16,,701,16,,701,16,,No,No,None,,,,,,,
,1/0/00,Lipscomb County,Texas,81,1,,81,1,,81,1,,81,1,,No,No,None,,,,,,,
,1/0/00,Live Oak County,Texas,401,10,,401,10,,401,10,,401,10,,No,No,None,,,,,,,
,1/0/00,Llano County,Texas,231,3,,231,3,,231,3,,231,3,,No,No,None,,,,,,,
,1/0/00,Loving County,Texas,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,1/0/00,Lubbock County,Texas,23473,235,,23473,242,,23913,257,,23473,242,,Yes,Yes,Yes,,,JHU=23473; NYT=23913; USAF=23473 in Lubbock County,JHU=242; NYT=257; USAF=242 in Lubbock County,,,
,1/0/00,Lynn County,Texas,256,6,,256,7,,256,7,,256,7,,No,Yes,Yes,,,,JHU=7; NYT=7; USAF=7 in Lynn County,,,
,1/0/00,Madison County,Texas,797,8,,797,8,,797,8,,797,8,,No,No,None,,,,,,,
,1/0/00,Marion County,Texas,180,14,,180,14,,180,14,,180,14,,No,No,None,,,,,,,
,1/0/00,Martin County,Texas,119,7,,119,7,,119,7,,119,7,,No,No,None,,,,,,,
,1/0/00,Mason County,Texas,87,2,,87,2,,87,2,,87,2,,No,No,None,,,,,,,
,1/0/00,Matagorda County,Texas,1147,56,,1147,56,,1147,56,,1147,56,,No,No,None,,,,,,,
,1/0/00,Maverick County,Texas,4494,163,,4494,164,,4494,164,,4494,164,,No,Yes,Yes,,,,JHU=164; NYT=164; USAF=164 in Maverick County,,,
,1/0/00,McCulloch County,Texas,233,5,,233,5,,233,5,,233,5,,No,No,None,,,,,,,
,1/0/00,McLennan County,Texas,11408,154,,11408,159,,11625,165,,11408,159,,Yes,Yes,Yes,,,JHU=11408; NYT=11625; USAF=11408 in McLennan County,JHU=159; NYT=165; USAF=159 in McLennan County,,,
,1/0/00,McMullen County,Texas,25,1,,25,1,,25,1,,25,1,,No,No,None,,,,,,,
,1/0/00,Medina County,Texas,1326,49,,1326,49,,1326,49,,1326,49,,No,No,None,,,,,,,
,1/0/00,Menard County,Texas,85,1,,85,1,,85,1,,85,1,,No,No,None,,,,,,,
,1/0/00,Midland County,Texas,6213,83,,6213,103,,6213,103,,6213,84,,No,Yes,Yes,,,,JHU=103; NYT=103; USAF=84 in Midland County,,,
,1/0/00,Milam County,Texas,581,9,,581,9,,581,9,,581,9,,No,No,None,,,,,,,
,1/0/00,Mills County,Texas,109,3,,109,3,,109,3,,109,3,,No,No,None,,,,,,,
,1/0/00,Mitchell County,Texas,240,3,,240,3,,240,3,,240,3,,No,No,None,,,,,,,
,1/0/00,Montague County,Texas,382,13,,382,13,,382,13,,382,13,,No,No,None,,,,,,,
,1/0/00,Montgomery County,Texas,13602,188,,14280,188,,14280,188,,13602,188,,Yes,No,Yes,,,JHU=14280; NYT=14280; USAF=13602 in Montgomery County,,,,
,1/0/00,Moore County,Texas,1465,24,,1465,24,,1465,24,,1465,24,,No,No,None,,,,,,,
,1/0/00,Morris County,Texas,248,5,,248,5,,248,5,,248,5,,No,No,None,,,,,,,
,1/0/00,Motley County,Texas,19,0,,19,0,,19,0,,19,0,,No,No,None,,,,,,,
,1/0/00,Nacogdoches County,Texas,1862,75,,1862,75,,1862,75,,1862,75,,No,No,None,,,,,,,
,1/0/00,Navarro County,Texas,1557,34,,1557,34,,2193,40,,1557,34,,Yes,Yes,Yes,,,JHU=1557; NYT=2193; USAF=1557 in Navarro County,JHU=34; NYT=40; USAF=34 in Navarro County,,,
,1/0/00,Newton County,Texas,190,15,,190,15,,190,15,,190,15,,No,No,None,,,,,,,
,1/0/00,Nolan County,Texas,511,7,,511,7,,511,7,,511,7,,No,No,None,,,,,,,
,1/0/00,Nueces County,Texas,16599,415,,21994,454,,21994,454,,16599,416,,Yes,Yes,Yes,,,JHU=21994; NYT=21994; USAF=16599 in Nueces County,JHU=454; NYT=454; USAF=416 in Nueces County,,,
,1/0/00,Ochiltree County,Texas,361,6,,361,6,,361,6,,361,6,,No,No,None,,,,,,,
,1/0/00,Oldham County,Texas,31,2,,31,2,,31,2,,31,2,,No,No,None,,,,,,,
,1/0/00,Orange County,Texas,2338,48,,2338,48,,2338,48,,2338,48,,No,No,None,,,,,,,
,1/0/00,Palo Pinto County,Texas,798,25,,798,26,,798,26,,798,26,,No,Yes,Yes,,,,JHU=26; NYT=26; USAF=26 in Palo Pinto County,,,
,1/0/00,Panola County,Texas,508,32,,508,32,,508,32,,508,32,,No,No,None,,,,,,,
,1/0/00,Parker County,Texas,2853,55,,2853,56,,2853,56,,2853,56,,No,Yes,Yes,,,,JHU=56; NYT=56; USAF=56 in Parker County,,,
,1/0/00,Parmer County,Texas,641,20,,641,20,,641,20,,641,20,,No,No,None,,,,,,,
,1/0/00,Pecos County,Texas,572,11,,572,12,,572,12,,572,12,,No,Yes,Yes,,,,JHU=12; NYT=12; USAF=12 in Pecos County,,,
,1/0/00,Polk County,Texas,942,40,,942,40,,1416,40,,942,40,,Yes,No,Yes,,,JHU=942; NYT=1416; USAF=942 in Polk County,,,,
,1/0/00,Potter County,Texas,9924,108,,9924,126,,9924,126,,9924,108,,No,Yes,Yes,,,,JHU=126; NYT=126; USAF=108 in Potter County,,,
,1/0/00,Presidio County,Texas,203,7,,203,7,,203,7,,203,7,,No,No,None,,,,,,,
,1/0/00,Rains County,Texas,118,5,,118,5,,218,5,,118,5,,Yes,No,Yes,,,JHU=118; NYT=218; USAF=118 in Rains County,,,,
,1/0/00,Randall County,Texas,7467,63,,7467,67,,7467,70,,7467,67,,No,Yes,Yes,,,,JHU=67; NYT=70; USAF=67 in Randall County,,,
,1/0/00,Reagan County,Texas,113,6,,113,6,,113,6,,113,6,,No,No,None,,,,,,,
,1/0/00,Real County,Texas,128,8,,128,8,,128,8,,128,8,,No,No,None,,,,,,,
,1/0/00,Red River County,Texas,211,18,,211,18,,211,18,,211,18,,No,No,None,,,,,,,
,1/0/00,Reeves County,Texas,325,7,,325,9,,325,9,,325,9,,No,Yes,Yes,,,,JHU=9; NYT=9; USAF=9 in Reeves County,,,
,1/0/00,Refugio County,Texas,321,16,,321,16,,321,16,,321,16,,No,No,None,,,,,,,
,1/0/00,Roberts County,Texas,19,0,,19,0,,19,0,,19,0,,No,No,None,,,,,,,
,1/0/00,Robertson County,Texas,448,4,,448,6,,448,6,,448,6,,No,Yes,Yes,,,,JHU=6; NYT=6; USAF=6 in Robertson County,,,
,1/0/00,Rockwall County,Texas,2232,34,,2232,34,,2232,34,,2232,34,,No,No,None,,,,,,,
,1/0/00,Runnels County,Texas,318,9,,318,9,,318,9,,318,9,,No,No,None,,,,,,,
,1/0/00,Rusk County,Texas,1073,29,,1073,29,,1073,29,,1073,29,,No,No,None,,,,,,,
,1/0/00,Sabine County,Texas,111,9,,111,9,,111,9,,111,9,,No,No,None,,,,,,,
,1/0/00,San Augustine County,Texas,240,16,,240,16,,314,16,,240,16,,Yes,No,Yes,,,JHU=240; NYT=314; USAF=240 in San Augustine County,,,,
,1/0/00,San Jacinto County,Texas,245,14,,245,14,,245,14,,245,14,,No,No,None,,,,,,,
,1/0/00,San Patricio County,Texas,1630,83,,1630,83,,1630,83,,1630,83,,No,No,None,,,,,,,
,1/0/00,San Saba County,Texas,261,5,,261,5,,261,5,,261,5,,No,No,None,,,,,,,
,1/0/00,Schleicher County,Texas,65,2,,65,2,,65,2,,65,2,,No,No,None,,,,,,,
,1/0/00,Scurry County,Texas,1282,17,,1282,17,,1282,17,,1282,17,,No,No,None,,,,,,,
,1/0/00,Shackelford County,Texas,44,0,,44,0,,44,0,,44,0,,No,No,None,,,,,,,
,1/0/00,Shelby County,Texas,567,32,,567,32,,567,32,,567,32,,No,No,None,,,,,,,
,1/0/00,Sherman County,Texas,81,1,,81,1,,81,1,,81,1,,No,No,None,,,,,,,
,1/0/00,Smith County,Texas,4975,159,,4975,161,,7708,161,,4975,161,,Yes,Yes,Yes,,,JHU=4975; NYT=7708; USAF=4975 in Smith County,JHU=161; NYT=161; USAF=161 in Smith County,,,
,1/0/00,Somervell County,Texas,191,5,,191,5,,191,5,,191,5,,No,No,None,,,,,,,
,1/0/00,Starr County,Texas,3649,187,,3649,187,,4049,187,,3649,187,,Yes,No,Yes,,,JHU=3649; NYT=4049; USAF=3649 in Starr County,,,,
,1/0/00,Stephens County,Texas,201,6,,201,6,,201,6,,201,6,,No,No,None,,,,,,,
,1/0/00,Sterling County,Texas,23,0,,23,0,,23,0,,23,0,,No,No,None,,,,,,,
,1/0/00,Stonewall County,Texas,22,1,,22,1,,22,1,,22,1,,No,No,None,,,,,,,
,1/0/00,Sutton County,Texas,138,3,,138,3,,138,3,,138,3,,No,No,None,,,,,,,
